Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7nhT7NOcyixKV17KLPAzdE,"Zúmbalo","La Orquesta Que Impone El Ritmo","Los Melódicos",2006-01-01,265546,56,false,zptjlytrhkfvnay62b8i1w5gr,2026-02-22T22:11:04Z,"merengue,tropical music,electrocumbia","YOYO USA, Inc.",0.897,0.831,9,-7.906,1,0.05,0.297,0.00473,0.0381,0.979,123.965,4
spotify:track:1gcLwCdALFFT5qvpDZgFu7,"Vete y Dile","Vete y Dile","Sergio Vargas",2001-01-01,296586,52,false,julianchy,2026-02-22T22:12:57Z,"merengue,salsa,tropical music","Union Records",0.614,0.9,5,-4.801,1,0.157,0.154,0,0.0385,0.709,149.89,4
spotify:track:7fLBzA1v6P0CXQ52OOLZdO,"Ni Tu Ni Yo","Mi Propuesta 1996","Sergio Vargas",1996,279680,53,false,julianchy,2026-02-22T22:13:00Z,"merengue,salsa,tropical music","Sony Music Latin",0.755,0.889,10,-5.804,0,0.0505,0.508,0.0001,0.274,0.753,135.289,4
spotify:track:0eaCLC0UBpc0Wh0EikTe9u,"Dile","A Tiempo","Sergio Vargas",1999-01-12,303293,51,false,julianchy,2026-02-22T22:13:05Z,"merengue,salsa,tropical music","Ariola",0.762,0.794,11,-4.662,0,0.0375,0.305,0.000136,0.102,0.721,140.048,4
spotify:track:71aYs6YwziN3BSbhqZfR4s,"Mala Memoria","Mi Propuesta 1996","Sergio Vargas",1996,282560,41,false,julianchy,2026-02-22T22:13:08Z,"merengue,salsa,tropical music","Sony Music Latin",0.741,0.803,10,-7.821,1,0.0464,0.286,0.000487,0.283,0.935,135.245,4
spotify:track:14O3hLuJMDRC8800QjuILq,"Cuarto de Hotel","12 Golden Hits","Bonny Cepeda",2011-04-12,298106,50,false,julianchy,2026-02-22T22:13:14Z,"merengue,salsa","Combo Records",0.504,0.807,5,-5.26,1,0.0329,0.389,0,0.169,0.879,139.362,4
spotify:track:2qP57GBFvveLpOLNWXHHm0,"Culpables","Para Siempre","Eddy Herrera",2003,262133,45,false,julianchy,2026-02-22T22:13:25Z,"merengue,salsa","J&N Records",0.683,0.867,5,-7.789,0,0.0636,0.651,0.00073,0.352,0.841,148.18,4
spotify:track:5O4a5RCYTJ452nsCuiPwtD,"El Jardinero","Los Años Dorados","Wilfrido Vargas",1988-01-01,266762,55,false,julianchy,2026-02-22T22:13:28Z,"merengue,tropical music,salsa","Karen Records Inc",0.397,0.686,2,-14.055,1,0.222,0.407,0,0.136,0.738,131.606,4
spotify:track:2bzg8wB7kCT9LJTunJ5kHm,"Una Fotografia","Dance It! - Bailalo!","Bonny Cepeda;Grupo Mania;Sergio Vargas",2012-09-07,247093,60,false,julianchy,2026-02-22T22:13:38Z,"merengue,salsa,tropical music","Pumar Records",0.592,0.826,9,-5.682,0,0.0291,0.382,0.000178,0.144,0.972,140.072,4
spotify:track:30SYpouR2GJJvtY3gjFz7V,"El Loco y La Luna","Los Años Dorados","Wilfrido Vargas",1988-01-01,291395,44,false,julianchy,2026-02-22T22:13:44Z,"merengue,tropical music,salsa","Karen Records Inc",0.423,0.594,10,-13.856,1,0.0479,0.421,0.00000192,0.1,0.944,127.866,4
spotify:track:51N1tsic7AMvkH5WfW7yTP,"El Gorila (Merengazo)","Sin Medir Distancia","Rikarena",1997-03-11,278373,39,false,julianchy,2026-02-22T22:14:05Z,"merengue,salsa,tropical music","J&N Records",0.729,0.846,0,-9.509,1,0.0939,0.403,0.000182,0.307,0.926,163.124,4
spotify:track:4mxSKZcao1Eu3MzVOXjiiT,"No Se Olvidar","Pegame Tu Vicio","Eddy Herrera",2001-07-17,273786,31,false,julianchy,2026-02-22T22:14:26Z,"merengue,salsa","Columbia",0.717,0.785,11,-6.957,0,0.0328,0.607,0.00019,0.123,0.961,131.969,4
spotify:track:16LDbpqgCtvEZDQ5wfOWrj,"Nuestra Cancion","Suavemente","Elvis Crespo",1998-02-27,208640,66,false,julianchy,2026-02-22T22:14:32Z,"merengue,latin dance,salsa,latin","Sony Music Latin",0.692,0.885,7,-3.132,0,0.0466,0.425,0.00256,0.239,0.923,126.228,4
spotify:track:2eRba627Otdkl6SsPyYWnY,"La Ventanita","Lucharé","Mickey Taveras",1995-01-01,284533,34,false,julianchy,2026-02-22T22:14:36Z,"salsa,merengue","Karen Publishing Company",0.648,0.815,2,-4.756,1,0.0404,0.229,0,0.13,0.953,126.507,4
spotify:track:19nKV5HPKjZxdc2Lsq5yZ4,"El Cantinero Rap","En Accion!","Jossie Esteban;La Patrulla 15",1992,325933,34,false,julianchy,2026-02-22T22:15:00Z,"merengue,tropical music","TTH Records",0.68,0.655,5,-13.315,0,0.0698,0.65,0.000218,0.262,0.89,137.594,4
spotify:track:2tWSh1ui05HkfiPjVStkJJ,"El Venao","Totally Merengue Hitzz","Ramón Orlando",2015-03-03,215240,35,false,julianchy,2026-02-22T22:15:12Z,"merengue,salsa","NVO Records, Inc",0.777,0.783,8,-9.348,1,0.0618,0.131,0.00000706,0.0991,0.678,126.071,4
spotify:track:09rl25gkGNV7iT7Q5h5ZXc,"El Virao","Merengue Pa' La Calle Platinum 8","Puro Merengon",2004-10-19,249720,25,false,julianchy,2026-02-22T22:15:17Z,"merengue","Max Mex Records",0.739,0.949,2,-4.309,1,0.242,0.182,0.00000696,0.0242,0.703,84.884,4
spotify:track:2em0pwdGyN32KGZSAzPN83,"El Comején","Wilfrido Vargas & Sandy Reyes","Wilfrido Vargas;Sandy Reyes",1982-01-01,260105,25,false,julianchy,2026-02-22T22:15:37Z,"merengue,tropical music,salsa","Karen Records Inc",0.562,0.654,0,-12.887,1,0.053,0.571,0.00647,0.0606,0.915,143.705,4
spotify:track:19Y0LF5TziCORmpe5R2ekY,"La Tanguita Roja","Top 40","Oro Solido",2016,252746,53,false,julianchy,2026-02-22T22:16:19Z,"merengue","Wahoo Music / 24K Entertainment",0.801,0.953,11,-2.129,1,0.181,0.22,0.00000148,0.0342,0.477,90.616,4
spotify:track:0c27iEtApUClcQ44aZ4BIP,"La Tanga","Internacional","Oro Solido",2016,267733,59,false,julianchy,2026-02-22T22:16:24Z,"merengue","Wahoo Music / 24K Entertainment",0.776,0.771,11,-8.244,1,0.159,0.241,0.00000114,0.0869,0.498,84.907,4
spotify:track:4jRxEVNituPZObHbCSBZL3,"Guallando","El Hombre Mas Famoso De La Tierra","Fulanito",1997-11-21,205333,64,false,julianchy,2026-02-22T22:16:43Z,"merengue","Cutting Records",0.681,0.907,7,-8.181,1,0.0699,0.0497,0,0.715,0.94,149.938,4
spotify:track:2EWZswsvSERfAWzXPE2trG,"El Cepillo","Greatest Hits","Fulanito",2008-04-15,206493,59,false,julianchy,2026-02-22T22:16:51Z,"merengue","Cutting Records",0.728,0.938,7,-7.844,1,0.077,0.0721,0.000173,0.0318,0.938,150.004,4
spotify:track:37ws88i53kzULHGoip4u1h,"El Grillero","New Era","Proyecto Uno",1996,396266,43,false,julianchy,2026-02-22T22:17:02Z,"merengue,latin house","H.O.L.A.",0.667,0.819,9,-9.469,1,0.568,0.173,0,0.415,0.558,162.894,4
spotify:track:6E8LDqPYhgxGyZE44tXXkH,"Bachata Merengue","Agua","Wilfrido Vargas",1989-09-12,277054,50,false,julianchy,2026-02-22T22:17:12Z,"merengue,tropical music,salsa","Discos TRUS",0.661,0.768,11,-7.396,1,0.264,0.2,0,0.143,0.918,160.28,4
spotify:track:4V8uHuLaBRxQ02H4YNCOO7,"Sopa de Caracol","Lo Mejor de Banda Blanca - 16 Exitos","Banda Blanca",1993-03-23,293906,62,false,julianchy,2026-02-22T22:17:17Z,"merengue,punta,cumbia","Great Touch-Pow",0.927,0.544,3,-14.621,1,0.0769,0.308,0.0000103,0.312,0.961,124.283,4
spotify:track:7yEzrqSsvmAQGpEQtl1UYp,"La Fiesta","Otra Vez","Sandy & Papo",1997-06-17,280360,52,false,julianchy,2026-02-22T22:17:34Z,"merengue","La Oreja Media Group, Inc.",0.87,0.788,6,-7.005,1,0.0425,0.116,0.00968,0.104,0.927,130.068,4
