Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2R4uUwgfrFjT1kMGcPq6mp,"Coincidir","Historias Tattooadas","Macaco",2015-03-23,266626,60,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:23Z,"reggae en español,latin alternative","Ariola",0.529,0.543,8,-8.558,1,0.139,0.326,0,0.108,0.581,74.266,4
spotify:track:6iCnJkKswtMYoSmT58HmEn,"Un Osito de Peluche de Taiwán","Sigue Tu Camino","Los Auténticos Decadentes",2003-01-01,247453,72,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"argentine rock,latin rock,ska,rock en español,murga,latin alternative","Pop Art",0.661,0.964,2,-4.105,1,0.0364,0.0532,0,0.11,0.597,101.984,4
spotify:track:4jrZI0XdexLjrHlBwLbhzL,"Te Olvidaré","Hoy","MYA;Pedro Capó",2019-06-14,185426,51,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"cuarteto,latin pop","Columbia",0.684,0.87,4,-3.681,0,0.0627,0.0744,0,0.347,0.88,74.973,4
spotify:track:50SFVefoyzWnJy1oQWfRtr,"Los Besos","La Carta","Greeicy",2022-03-04,202333,63,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"colombian pop,pop urbano","UMLE - Latino",0.678,0.752,11,-4.242,1,0.212,0.071,0.00000515,0.0963,0.662,167.822,4
spotify:track:1WH3iquIQXnSPwUzlROT8R,"Quiéreme Mientras Se Pueda","Dopamina","Manuel Turizo",2021-04-09,191945,72,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"reggaeton,colombian pop,pop urbano,latin","Sony Music Latin/La Industria",0.793,0.782,4,-3.945,1,0.0582,0.447,0,0.124,0.81,143.86,4
spotify:track:4JdSXF2p71cr8uCY3UiJM0,"Frágil","Frágil","Yahritza Y Su Esencia;Grupo Frontera",2023-04-07,160517,71,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"sad sierreño,música mexicana,cumbia norteña,banda,norteño,corrido,corridos tumbados,grupera,tejano","Lumbre Music/Columbia",0.605,0.726,6,-4.515,1,0.0309,0.365,0,0.112,0.393,149.918,4
spotify:track:1zgTTXWby9R40Gj9rHgH8e,"El Amor de Mi Vida","El Amor de Mi Vida","Los Ángeles Azules;Maria Becerra",2023-08-17,184586,66,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"cumbia,cumbia sonidera,salsa,argentine trap","OCESA Seitrack",0.618,0.793,11,-4.013,0,0.0493,0.163,0,0.0822,0.688,88.01,4
spotify:track:4PpuZIMmeng6qPicveSI22,"Beso","Háblate de Mí","Jósean Log",2016-10-14,211021,82,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"mexican indie,latin indie","Jósean Log",0.793,0.56,7,-8.922,0,0.0324,0.599,0,0.0952,0.862,123.011,4
spotify:track:31ikJAzULhipN0KLo0tYOP,"La Quiero a Morir","La Quiero a Morir","Juandas",2019-06-15,196500,27,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"","JuandasMusic",0.737,0.361,8,-12.451,1,0.424,0.683,0,0.0905,0.689,140.908,4
spotify:track:4c1gXSj2oEYywSfN6iOwGu,"Lejos Conmigo","La Carta","Greeicy;Alejandro Sanz",2022-03-04,175853,53,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"colombian pop,pop urbano,latin pop","UMLE - Latino",0.771,0.76,0,-4.378,1,0.154,0.0845,0,0.0716,0.715,92.005,4
spotify:track:6gpLTvmHWj12Z03hFgixkH,"Lo Quiero Todo","Civilizado Como Los Animales","Macaco",2019-05-24,227099,50,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"reggae en español,latin alternative","Sony Music Entertainment",0.686,0.583,1,-6.392,1,0.09,0.308,0,0.102,0.798,149.94,4
spotify:track:7v2xvireH6Ba3FREa5wsRP,"Y Sin Embargo","Yo, Mi, Me, Contigo","Joaquín Sabina",1996-06-21,273160,63,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"trova,singer-songwriter,nueva trova","Ariola",0.691,0.467,7,-10.208,1,0.0725,0.676,0.00000157,0.0935,0.551,168.733,4
spotify:track:3UbaST6RpH8lSRgdBY5BDu,"Lo Niego Todo - En Directo","Lo Niego Todo - En Directo","Joaquín Sabina",2018-10-26,295535,31,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"trova,singer-songwriter,nueva trova","Ariola",0.397,0.51,4,-9.95,1,0.0875,0.0554,0.00000664,0.975,0.328,72.274,4
spotify:track:15WfxfNLSYEjW4fKd2mHw4,"A Ti Que Te Lo Haces","Mentiras Piadosas","Joaquín Sabina",1990-05-07,256560,34,false,zptjlytrhkfvnay62b8i1w5gr,2024-04-10T17:33:31Z,"trova,singer-songwriter,nueva trova","Ariola",0.854,0.321,4,-15.231,1,0.0474,0.407,0.0000176,0.0634,0.404,112.041,4
